bfgdPHP,#genre#
世界地理,https://185211.xyz/T4/bfgd.php?id=177
江苏卫视高清,https://185211.xyz/T4/bfgd.php?id=085
天津卫视高清,https://185211.xyz/T4/bfgd.php?id=084
湖南卫视高清,https://185211.xyz/T4/bfgd.php?id=086
北京卫视高清,https://185211.xyz/T4/bfgd.php?id=083
黑龙江卫视高清,https://185211.xyz/T4/bfgd.php?id=095
广东卫视高清,https://185211.xyz/T4/bfgd.php?id=092
东方卫视高清,https://185211.xyz/T4/bfgd.php?id=093
浙江卫视高清,https://185211.xyz/T4/bfgd.php?id=094
吉林卫视高清,https://185211.xyz/T4/bfgd.php?id=097
安徽卫视高清,https://185211.xyz/T4/bfgd.php?id=096
江西卫视高清,https://185211.xyz/T4/bfgd.php?id=098
山东卫视高清,https://185211.xyz/T4/bfgd.php?id=099
贵州卫视高清,https://185211.xyz/T4/bfgd.php?id=101
深圳卫视高清,https://185211.xyz/T4/bfgd.php?id=100
湖北卫视高清,https://185211.xyz/T4/bfgd.php?id=102
四川卫视高清,https://185211.xyz/T4/bfgd.php?id=103
陕西卫视高清,https://185211.xyz/T4/bfgd.php?id=512
河南卫视高清,https://185211.xyz/T4/bfgd.php?id=339
海南卫视高清,https://185211.xyz/T4/bfgd.php?id=473
云南卫视高清,https://185211.xyz/T4/bfgd.php?id=482
东南卫视高清,https://185211.xyz/T4/bfgd.php?id=483
重温经典,https://185211.xyz/T4/bfgd.php?id=636
金鹰卡通,https://185211.xyz/T4/bfgd.php?id=105
河南卫视,https://185211.xyz/T4/bfgd.php?id=104
北京卡酷少儿,https://185211.xyz/T4/bfgd.php?id=106
重庆卫视高清,https://185211.xyz/T4/bfgd.php?id=107
山西卫视,https://185211.xyz/T4/bfgd.php?id=109
河北卫视高清,https://185211.xyz/T4/bfgd.php?id=108
青海卫视,https://185211.xyz/T4/bfgd.php?id=111
内蒙古卫视,https://185211.xyz/T4/bfgd.php?id=110
山东教育卫视,https://185211.xyz/T4/bfgd.php?id=112
北京纪实科教高清,https://185211.xyz/T4/bfgd.php?id=113
广西卫视高清,https://185211.xyz/T4/bfgd.php?id=116
云南卫视,https://185211.xyz/T4/bfgd.php?id=115
宁夏卫视,https://185211.xyz/T4/bfgd.php?id=118
陕西卫视,https://185211.xyz/T4/bfgd.php?id=114
延边卫视,https://185211.xyz/T4/bfgd.php?id=117
甘肃卫视,https://185211.xyz/T4/bfgd.php?id=119
西藏卫视,https://185211.xyz/T4/bfgd.php?id=121
农林卫视,https://185211.xyz/T4/bfgd.php?id=122
兵团卫视,https://185211.xyz/T4/bfgd.php?id=124
家庭影院,https://185211.xyz/T4/bfgd.php?id=289
家庭剧场,https://185211.xyz/T4/bfgd.php?id=290
外国影院,https://185211.xyz/T4/bfgd.php?id=291
综艺,https://185211.xyz/T4/bfgd.php?id=292
午夜影院,https://185211.xyz/T4/bfgd.php?id=294
纪录片,https://185211.xyz/T4/bfgd.php?id=295
游戏竞技,https://185211.xyz/T4/bfgd.php?id=296
儿童动漫,https://185211.xyz/T4/bfgd.php?id=293
3D影院,https://185211.xyz/T4/bfgd.php?id=298
绘画,https://185211.xyz/T4/bfgd.php?id=297
家庭理财,https://185211.xyz/T4/bfgd.php?id=139
网络棋牌,https://185211.xyz/T4/bfgd.php?id=141
游戏竞技,https://185211.xyz/T4/bfgd.php?id=142
天元围棋,https://185211.xyz/T4/bfgd.php?id=144
电子体育,https://185211.xyz/T4/bfgd.php?id=143
环球旅游,https://185211.xyz/T4/bfgd.php?id=147
车迷频道,https://185211.xyz/T4/bfgd.php?id=146
生态环境,https://185211.xyz/T4/bfgd.php?id=149
优优宝贝,https://185211.xyz/T4/bfgd.php?id=153
新疆卫视,https://185211.xyz/T4/bfgd.php?id=150
收藏天下,https://185211.xyz/T4/bfgd.php?id=155
中华特产,https://185211.xyz/T4/bfgd.php?id=158
中国天气,https://185211.xyz/T4/bfgd.php?id=160
法治天地,https://185211.xyz/T4/bfgd.php?id=162
电视指南,https://185211.xyz/T4/bfgd.php?id=164
家政,https://185211.xyz/T4/bfgd.php?id=167
重庆汽摩,https://185211.xyz/T4/bfgd.php?id=168
茶频道,https://185211.xyz/T4/bfgd.php?id=181
书画,https://185211.xyz/T4/bfgd.php?id=180
百姓健康,https://185211.xyz/T4/bfgd.php?id=219
摄影频道,https://185211.xyz/T4/bfgd.php?id=222
财富天下,https://185211.xyz/T4/bfgd.php?id=231
四海钓鱼,https://185211.xyz/T4/bfgd.php?id=229
先锋乒羽,https://185211.xyz/T4/bfgd.php?id=349
证券服务,https://185211.xyz/T4/bfgd.php?id=610
天元围棋,https://185211.xyz/T4/bfgd.php?id=633
辽宁卫视高清,https://185211.xyz/T4/bfgd.php?id=058
辽宁都市高清,https://185211.xyz/T4/bfgd.php?id=610
辽宁北方高清,https://185211.xyz/T4/bfgd.php?id=071
辽宁生活高清,https://185211.xyz/T4/bfgd.php?id=073
辽宁体育高清,https://185211.xyz/T4/bfgd.php?id=611
辽宁影视剧高清,https://185211.xyz/T4/bfgd.php?id=070
辽宁教育青少高清,https://185211.xyz/T4/bfgd.php?id=075
辽宁经济高清,https://185211.xyz/T4/bfgd.php?id=076
辽宁公共高清,http://zjk.xoz




河南PHP,#genre#
梨园戏曲,http://1.94.31.214/php/hntv.php?id=hnly
梨园戏曲,http://150.158.10.195:80/dxxw.php?id=hnly
河南卫视,https://185211.xyz/T4/河南.php?id=hnws
河南都市,https://185211.xyz/T4/河南.php?id=hnds
河南民生,https://185211.xyz/T4/河南.php?id=hnms
河南法治,https://185211.xyz/T4/河南.php?id=hmfz
河南电视剧,https://185211.xyz/T4/河南.php?id=hndsj
河南新闻,https://185211.xyz/T4/河南.php?id=hnxw
欢腾购物,https://185211.xyz/T4/河南.php?id=htgw
河南公共,https://185211.xyz/T4/河南.php?id=hngg
河南乡村,https://185211.xyz/T4/河南.php?id=hnxc
河南国际,https://185211.xyz/T4/河南.php?id=hngj
河南梨园,https://185211.xyz/T4/河南.php?id=hnly
文物宝库,https://185211.xyz/T4/河南.php?id=wwbk
武术世界,https://185211.xyz/T4/河南.php?id=wspd
睛彩中原,https://185211.xyz/T4/河南.php?id=jczy
移动戏曲,https://185211.xyz/T4/河南.php?id=ydxj
象视界,https://185211.xyz/T4/河南.php?id=xsj
国学频道,https://185211.xyz/T4/河南.php?id=gxpd
郑州新闻综合,https://185211.xyz/T4/河南.php?id=zz1
开封新闻综合,https://185211.xyz/T4/河南.php?id=kf1
洛阳新闻综合,https://185211.xyz/T4/河南.php?id=ly1
平顶山新闻综合,https://185211.xyz/T4/河南.php?id=pds1
安阳新闻综合,https://185211.xyz/T4/河南.php?id=ay1
鹤壁新闻综合,https://185211.xyz/T4/河南.php?id=hb1
新乡新闻综合,https://185211.xyz/T4/河南.php?id=xx1
焦作新闻综合,https://185211.xyz/T4/河南.php?id=jz1
濮阳新闻综合,https://185211.xyz/T4/河南.php?id=py1
许昌新闻综合,https://185211.xyz/T4/河南.php?id=xc1
漯河新闻综合,https://185211.xyz/T4/河南.php?id=lh1
三门峡新闻综合,https://185211.xyz/T4/河南.php?id=smx1
南阳新闻综合,https://185211.xyz/T4/河南.php?id=ny1
商丘新闻综合,https://185211.xyz/T4/河南.php?id=sq1
信阳新闻综合,https://185211.xyz/T4/河南.php?id=xy1
周口新闻综合,https://185211.xyz/T4/河南.php?id=zk1
驻马店新闻综合,https://185211.xyz/T4/河南.php?id=zmd1
济源新闻综合,https://185211.xyz/T4/河南.php?id=jy1


山东地方PHP,#genre#

长清新闻,https://185211.xyz/T4/sd.php?id=jncqxw
长清生活,https://185211.xyz/T4/sd.php?id=jncqsh
济铁电视台,https://185211.xyz/T4/sd.php?id=jnjrtv
济阳综合,https://185211.xyz/T4/sd.php?id=jnjyzh
济阳影视,https://185211.xyz/T4/sd.php?id=jnjyys
历城新闻综合,https://185211.xyz/T4/sd.php?id=jnlcxw
平阴综合,https://185211.xyz/T4/sd.php?id=jnpyzh
平阴乡村振兴,https://185211.xyz/T4/sd.php?id=jnpyxc
商河综合,https://185211.xyz/T4/sd.php?id=jnshzh
商河影视,https://185211.xyz/T4/sd.php?id=jnshys
章丘综合,https://185211.xyz/T4/sd.php?id=jnzqzh
章丘公共,https://185211.xyz/T4/sd.php?id=jnzqgg
东营新闻综合,https://185211.xyz/T4/sd.php?id=dyxwzh
东营公共,https://185211.xyz/T4/sd.php?id=dygg
东营公共,https://185211.xyz/T4/sd.php?id=dygg2
东营科教,https://185211.xyz/T4/sd.php?id=dykj
东营区新闻综合,https://185211.xyz/T4/sd.php?id=dydyqxw
东营区科教影视,https://185211.xyz/T4/sd.php?id=dydyqkj
广饶综合,https://185211.xyz/T4/sd.php?id=dygrzh
广饶科教文艺,https://185211.xyz/T4/sd.php?id=dygrkj
垦利新闻综合,https://185211.xyz/T4/sd.php?id=dyklxw
利津综合,https://185211.xyz/T4/sd.php?id=dyljzh
利津文化生活,https://185211.xyz/T4/sd.php?id=dyljwh
黄岛综合,https://185211.xyz/T4/sd.php?id=qdhdzh
黄岛生活,https://185211.xyz/T4/sd.php?id=qdhdsh
即墨综合,https://185211.xyz/T4/sd.php?id=qdjmzh
即墨生活服务,https://185211.xyz/T4/sd.php?id=qdjmsh
胶州综合,https://185211.xyz/T4/sd.php?id=qdjzzh
胶州生活,https://185211.xyz/T4/sd.php?id=qdjzsh
李沧TV,https://185211.xyz/T4/sd.php?id=qdlc
崂崂山TV,https://185211.xyz/T4/sd.php?id=qdls
莱西综合,https://185211.xyz/T4/sd.php?id=qdlxzh
莱西生活,https://185211.xyz/T4/sd.php?id=qdlxsh
平度新闻综合,https://185211.xyz/T4/sd.php?id=qdpdxw
平度生活服务,https://185211.xyz/T4/sd.php?id=qdpdsh
潍坊新闻综合,https://185211.xyz/T4/sd.php?id=wfxwzh
潍坊生活,https://185211.xyz/T4/sd.php?id=wfsh
潍坊影视综艺,https://185211.xyz/T4/sd.php?id=wfyswy
潍坊科教文旅,https://185211.xyz/T4/sd.php?id=wfkjwl
潍坊高新区,https://185211.xyz/T4/sd.php?id=wfgxq
安丘综合,https://185211.xyz/T4/sd.php?id=wfaqzh
安丘民生,https://185211.xyz/T4/sd.php?id=wfaqms
滨海新闻综合,https://185211.xyz/T4/sd.php?id=wfbhxw
昌乐综合,https://185211.xyz/T4/sd.php?id=wfclzh
昌邑综合,https://185211.xyz/T4/sd.php?id=wfcyzh
昌邑经济生活,https://185211.xyz/T4/sd.php?id=wfcyjj
坊子新闻综合,https://185211.xyz/T4/sd.php?id=wffzxw
高密综合,https://185211.xyz/T4/sd.php?id=wfgmzh
高密党建农科,https://185211.xyz/T4/sd.php?id=wfgmdj
寒亭新闻,https://185211.xyz/T4/sd.php?id=wfhtxw
奎文电视台,https://185211.xyz/T4/sd.php?id=wfkwtv
临朐朐新闻综合,https://185211.xyz/T4/sd.php?id=wflqxw
青州综合,https://185211.xyz/T4/sd.php?id=wfqzzh
青州文化旅游,https://185211.xyz/T4/sd.php?id=wfqzwh
潍城TV,https://185211.xyz/T4/sd.php?id=wfwc
诸城新闻综合,https://185211.xyz/T4/sd.php?id=wfzcxw
诸城生活娱乐,https://185211.xyz/T4/sd.php?id=wfzcsh
长岛TV,https://185211.xyz/T4/sd.php?id=ytcd
福山综合,https://185211.xyz/T4/sd.php?id=ytfszh
福山生活,https://185211.xyz/T4/sd.php?id=ytfssh
海阳综合,https://185211.xyz/T4/sd.php?id=ythyzh
龙口综合,https://185211.xyz/T4/sd.php?id=ytlkzh
龙口生活,https://185211.xyz/T4/sd.php?id=ytlksh
莱山综合,https://185211.xyz/T4/sd.php?id=ytlszh
莱山影视,https://185211.xyz/T4/sd.php?id=ytlsys
莱阳综合,https://185211.xyz/T4/sd.php?id=ytlyzh
莱阳民生综艺,https://185211.xyz/T4/sd.php?id=ytlyms
莱州综合,https://185211.xyz/T4/sd.php?id=ytlzzh
牟平综合,https://185211.xyz/T4/sd.php?id=ytmpzh
蓬莱综合,https://185211.xyz/T4/sd.php?id=ytplzh
蓬莱综艺,https://185211.xyz/T4/sd.php?id=ytplzy
栖霞综合,https://185211.xyz/T4/sd.php?id=ytqxzh
栖霞苹果,https://185211.xyz/T4/sd.php?id=ytqxpg
招远综合,https://185211.xyz/T4/sd.php?id=ytzyzh
招远综艺,https://185211.xyz/T4/sd.php?id=ytzyzy
博山新闻,https://185211.xyz/T4/sd.php?id=zbbsxw
博山图文,https://185211.xyz/T4/sd.php?id=zbbstw
高青综合,https://185211.xyz/T4/sd.php?id=zbgqzh
高青影视,https://185211.xyz/T4/sd.php?id=zbgqys
桓台综合,https://185211.xyz/T4/sd.php?id=zbht1
桓台影视,https://185211.xyz/T4/sd.php?id=zbht2
临淄新闻综合,https://185211.xyz/T4/sd.php?id=zblzxw
临淄生活服务,https://185211.xyz/T4/sd.php?id=zblzsh
沂源综合,https://185211.xyz/T4/sd.php?id=zbyyzh
沂源生活,https://185211.xyz/T4/sd.php?id=zbyysh
淄川新闻,https://185211.xyz/T4/sd.php?id=zbzcxw
淄川生活,https://185211.xyz/T4/sd.php?id=zbzcsh
张店综合,https://185211.xyz/T4/sd.php?id=zbzd1
张店2,https://185211.xyz/T4/sd.php?id=zbzd2
周村新闻,https://185211.xyz/T4/sd.php?id=zbzctv1
周村生活,https://185211.xyz/T4/sd.php?id=zbzctv2
山亭综合,https://185211.xyz/T4/sd.php?id=zzstzh
枣庄市中综合,https://185211.xyz/T4/sd.php?id=zzszzh
台儿庄新闻综合,https://185211.xyz/T4/sd.php?id=zztezxw
滕州综合,https://185211.xyz/T4/sd.php?id=zztzzh
滕州民生,https://185211.xyz/T4/sd.php?id=zztzms
薛城新闻综合,https://185211.xyz/T4/sd.php?id=zzxcxw
峄峄城综合,https://185211.xyz/T4/sd.php?id=zzyczh
滨城TV,https://185211.xyz/T4/sd.php?id=bzbctv
博兴综合,https://185211.xyz/T4/sd.php?id=bzbxzh
博兴生活,https://185211.xyz/T4/sd.php?id=bzbxsh
惠民综合,https://185211.xyz/T4/sd.php?id=bzhmzh
惠民影视,https://185211.xyz/T4/sd.php?id=bzhmys
无棣综合,https://185211.xyz/T4/sd.php?id=bzwdzh
无棣综艺,https://185211.xyz/T4/sd.php?id=bzwdzy
阳信新闻综合,https://185211.xyz/T4/sd.php?id=bzyxxw
沾化综合,https://185211.xyz/T4/sd.php?id=bzzhzh
沾化综艺,https://185211.xyz/T4/sd.php?id=bzzhzy
邹平综合,https://185211.xyz/T4/sd.php?id=bzzpzh
邹平民生,https://185211.xyz/T4/sd.php?id=bzzpms
德州新闻综合,https://185211.xyz/T4/sd.php?id=dzxwzh
德州经济生活,https://185211.xyz/T4/sd.php?id=dzjjsh
德州图文,https://185211.xyz/T4/sd.php?id=dztw
陵城综合,https://185211.xyz/T4/sd.php?id=dzlczh
乐陵新闻综合,https://185211.xyz/T4/sd.php?id=dzllxw
乐陵城市生活,https://185211.xyz/T4/sd.php?id=dzllcs
临邑1,https://185211.xyz/T4/sd.php?id=dzly1
临邑2,https://185211.xyz/T4/sd.php?id=dzly2
宁津综合,https://185211.xyz/T4/sd.php?id=dznjzh
平原综合,https://185211.xyz/T4/sd.php?id=dzpyzh
齐河综合,https://185211.xyz/T4/sd.php?id=dzqhzh
庆云综合,https://185211.xyz/T4/sd.php?id=dzqyzh
庆云生活,https://185211.xyz/T4/sd.php?id=dzqysh
武城综合,https://185211.xyz/T4/sd.php?id=dzwczh
武城综艺影视,https://185211.xyz/T4/sd.php?id=dzwczy
夏津综合,https://185211.xyz/T4/sd.php?id=dzxjzh
夏津公共,https://185211.xyz/T4/sd.php?id=dzxjgg
禹城综合,https://185211.xyz/T4/sd.php?id=dzyczh
禹城综艺,https://185211.xyz/T4/sd.php?id=dzyczy
成武综合,https://185211.xyz/T4/sd.php?id=hzcwzh
成武综艺,https://185211.xyz/T4/sd.php?id=hzcwzy
曹县综合,https://185211.xyz/T4/sd.php?id=hzcxzh
东明新闻综合,https://185211.xyz/T4/sd.php?id=hzdmxw
定陶新闻,https://185211.xyz/T4/sd.php?id=hzdt1
定陶综艺,https://185211.xyz/T4/sd.php?id=hzdt2
鄄鄄城综合,https://185211.xyz/T4/sd.php?id=hzjczh
巨野新闻,https://185211.xyz/T4/sd.php?id=hzjyxw
牡丹区新闻综合,https://185211.xyz/T4/sd.php?id=hzmdxw
牡丹区综艺,https://185211.xyz/T4/sd.php?id=hzmdzy
单县综合,https://185211.xyz/T4/sd.php?id=hzsxzh
郓郓城新闻,https://185211.xyz/T4/sd.php?id=hzycxw
郓郓城综艺,https://185211.xyz/T4/sd.php?id=hzyczy
嘉祥综合,https://185211.xyz/T4/sd.php?id=jijiazh
嘉祥生活,https://185211.xyz/T4/sd.php?id=jijiash
金乡综合,https://185211.xyz/T4/sd.php?id=jijxzh
金乡生活,https://185211.xyz/T4/sd.php?id=jijxsh
梁山综合,https://185211.xyz/T4/sd.php?id=jilszh
曲阜新闻综合,https://185211.xyz/T4/sd.php?id=jiqfxw
任城新闻综合,https://185211.xyz/T4/sd.php?id=jircxw
任城影视娱乐,https://185211.xyz/T4/sd.php?id=jircys
泗水新闻综合,https://185211.xyz/T4/sd.php?id=jissxw
泗水文化生活,https://185211.xyz/T4/sd.php?id=jisswh
微山综合,https://185211.xyz/T4/sd.php?id=jiws1
微山2套,https://185211.xyz/T4/sd.php?id=jiws2
汶上综合,https://185211.xyz/T4/sd.php?id=jiwszh
汶上生活,https://185211.xyz/T4/sd.php?id=jiwssh
鱼台新闻,https://185211.xyz/T4/sd.php?id=jiytxw
鱼台生活,https://185211.xyz/T4/sd.php?id=jiytsh
兖兖州新闻,https://185211.xyz/T4/sd.php?id=jiyzxw
兖兖州生活,https://185211.xyz/T4/sd.php?id=jiyzsh
邹城综合,https://185211.xyz/T4/sd.php?id=jizczh
邹城文化生活,https://185211.xyz/T4/sd.php?id=jizcwh
茌茌平综合,https://185211.xyz/T4/sd.php?id=lccpzh
茌茌平生活,https://185211.xyz/T4/sd.php?id=lccpsh
东昌综合,https://185211.xyz/T4/sd.php?id=lcdczh
东阿综合,https://185211.xyz/T4/sd.php?id=lcdezh
东阿综艺,https://185211.xyz/T4/sd.php?id=lcdezy
高唐综合,https://185211.xyz/T4/sd.php?id=lcgtzh
高唐综艺,https://185211.xyz/T4/sd.php?id=lcgtzy
冠县综合,https://185211.xyz/T4/sd.php?id=lcgxzh
临清综合,https://185211.xyz/T4/sd.php?id=lclqzh
临清经济信息,https://185211.xyz/T4/sd.php?id=lclqjj
莘县综合,https://185211.xyz/T4/sd.php?id=lcsxzh
莘县生活,https://185211.xyz/T4/sd.php?id=lcsxsh
阳谷综合,https://185211.xyz/T4/sd.php?id=lcygzh
阳谷影视,https://185211.xyz/T4/sd.php?id=lcygys
临沂综合,https://185211.xyz/T4/sd.php?id=lyzh
临沂公共,https://185211.xyz/T4/sd.php?id=lygg
临沂农科,https://185211.xyz/T4/sd.php?id=lynk
费县综合,https://185211.xyz/T4/sd.php?id=lyfxzh
费县生活,https://185211.xyz/T4/sd.php?id=lyfxsh
河东影视,https://185211.xyz/T4/sd.php?id=lyhdys
河东综合,https://185211.xyz/T4/sd.php?id=lyhdzh
莒莒南综合,https://185211.xyz/T4/sd.php?id=lyjnzh
莒莒南影视,https://185211.xyz/T4/sd.php?id=lyjnys
兰陵综合,https://185211.xyz/T4/sd.php?id=lyllzh
兰陵公共,https://185211.xyz/T4/sd.php?id=lyllgg
兰山综合,https://185211.xyz/T4/sd.php?id=lylszh
临沭沭综合,https://185211.xyz/T4/sd.php?id=lyls1
临沭沭生活,https://185211.xyz/T4/sd.php?id=lyls2
罗庄综合,https://185211.xyz/T4/sd.php?id=lylzzh
罗庄影视,https://185211.xyz/T4/sd.php?id=lylzys
蒙阴综合,https://185211.xyz/T4/sd.php?id=lymy1
蒙阴2套,https://185211.xyz/T4/sd.php?id=lymy2
平邑综合,https://185211.xyz/T4/sd.php?id=lypyzh
平邑生活,https://185211.xyz/T4/sd.php?id=lypysh
郯郯城综合,https://185211.xyz/T4/sd.php?id=lytc1
郯郯城2套,https://185211.xyz/T4/sd.php?id=lytc2
沂南综合,https://185211.xyz/T4/sd.php?id=lyynzh
沂南红色影视,https://185211.xyz/T4/sd.php?id=lyynys
沂水综合,https://185211.xyz/T4/sd.php?id=lyys1
沂水生活,https://185211.xyz/T4/sd.php?id=lyys2
莒莒县综合,https://185211.xyz/T4/sd.php?id=rzjx1
莒莒县2套,https://185211.xyz/T4/sd.php?id=rzjx2
岚山TV,https://185211.xyz/T4/sd.php?id=rzls
五莲综合,https://185211.xyz/T4/sd.php?id=rzwlzh
五莲文化旅游,https://185211.xyz/T4/sd.php?id=rzwlwh
东平综合,https://185211.xyz/T4/sd.php?id=tadpzh
东平民生,https://185211.xyz/T4/sd.php?id=tadpms
岱岳TV,https://185211.xyz/T4/sd.php?id=tady
肥城综合,https://185211.xyz/T4/sd.php?id=tafczh
肥城生活,https://185211.xyz/T4/sd.php?id=tafcsh
宁阳综合,https://185211.xyz/T4/sd.php?id=tany1
宁阳2套,https://185211.xyz/T4/sd.php?id=tany2
泰山TV,https://185211.xyz/T4/sd.php?id=tats
新泰综合,https://185211.xyz/T4/sd.php?id=taxtzh
新泰乡村,https://185211.xyz/T4/sd.php?id=taxtxc
威海新闻综合,https://185211.xyz/T4/sd.php?id=whxwzh
威海都市生活,https://185211.xyz/T4/sd.php?id=whdssh
威海海洋,https://185211.xyz/T4/sd.php?id=whhy
威海环翠综合,https://185211.xyz/T4/sd.php?id=whhczh
荣成综合,https://185211.xyz/T4/sd.php?id=whrczh
荣成生活,https://185211.xyz/T4/sd.php?id=whrcsh
乳山综合,https://185211.xyz/T4/sd.php?id=whrszh
乳山生活,https://185211.xyz/T4/sd.php?id=whrssh
文登TV1,https://185211.xyz/T4/sd.php?id=whwd1
文登TV2,https://185211.xyz/T4/sd.php?id=whwd2




糖豆广场舞,#genre#

济南朵朵《陌客天涯》最新爆火超美时尚弹跳混搭风,https://185211.xyz/T4/糖豆.php?id=20000012266256
燕子原创广场舞《战马》简单易学32步，适合大众,https://185211.xyz/T4/糖豆.php?id=20000012226862
雪妹舞翩翩广场舞《天边的情哥哥》原创优美抒情舞蹈附教学,https://185211.xyz/T4/糖豆.php?id=1500665592959
妃儿舞蹈《一晃就老了》最新爆火海伦紫罗版一学就会附教学,https://185211.xyz/T4/糖豆.php?id=20000011437095
金子《摘一朵雪莲》最新爆火🔥美丽蓥华版民族混搭风,https://185211.xyz/T4/糖豆.php?id=20000012329497
20分钟排毒操，排出体内湿气寒气,https://185211.xyz/T4/糖豆.php?id=20000000034012
50岁以上必跳，肩周炎、颈椎病、四肢麻木的克星，适合所有人,https://185211.xyz/T4/糖豆.php?id=20000000011100
金楠《茶山小幺妹》🔥爆欢快动感弹跳舞💃附教学,https://185211.xyz/T4/糖豆.php?id=20000011216300
玫香广场舞原创《你不回头我就不挽留》零基础32步，附教学,https://185211.xyz/T4/糖豆.php?id=20000012255773
吉美《冷冷冷的风呀》新歌上线火爆流行舞,https://185211.xyz/T4/糖豆.php?id=20000012340895
午后骄阳广场舞（一首醉人的歌）背面示范完整版,https://185211.xyz/T4/糖豆.php?id=20000012313856
金楠《铁锅炖大鹅》全网热搜🔥爆时尚简单步子舞附教学,https://185211.xyz/T4/糖豆.php?id=20000012339968
芝麻爱跳舞《中国美草原美》薇薇 舞清秋 小寒六六版,https://185211.xyz/T4/糖豆.php?id=20000011694133
金子《你像秋雁要南飞》最新静静版优美弹跳风,https://185211.xyz/T4/糖豆.php?id=20000012350979
热身健身操《风雨中的情》几组简单动作 健身又美体,https://185211.xyz/T4/糖豆.php?id=1500678157354
《祝福》形体舞 马健涛的新歌太好听了,https://185211.xyz/T4/糖豆.php?id=20000012330500
子青舞队夜晚版《大妈扭得美》48步恰恰,https://185211.xyz/T4/糖豆.php?id=1500680356303
舞倾心广场舞《月亮月亮你别睡》超火爆32步摆胯舞,https://185211.xyz/T4/糖豆.php?id=1500677590544
芝麻爱跳舞《苍穹唤》蜗牛版,https://185211.xyz/T4/糖豆.php?id=20000012224052
淡然豆芽《摘一朵雪莲》原创欢快超美印度风情混搭舞简单易学,https://185211.xyz/T4/糖豆.php?id=20000012296332
慧慧《无人的岛》简单时尚步子舞,https://185211.xyz/T4/糖豆.php?id=20000012352782
小周周《月满西楼》太美了 超火版本 简单易学🔥🔥,https://185211.xyz/T4/糖豆.php?id=20000011455291
金子《枕上诗书》最新薇薇 小寒六六 舞清秋版优美弹跳风,https://185211.xyz/T4/糖豆.php?id=20000012340657
济南朵朵《江湖梦》最新爆火网络超美时尚动感弹跳风,https://185211.xyz/T4/糖豆.php?id=20000012323889
午后骄阳广场舞《苍穹唤》 原创藏族舞附口令教学,https://185211.xyz/T4/糖豆.php?id=20000012317363
幸儿爱舞《江湖夜雨十年灯》爆火附教学,https://185211.xyz/T4/糖豆.php?id=20000012241587
美姿依然原创形体舞《珊瑚颂》背面+分解,https://185211.xyz/T4/糖豆.php?id=20000012331829
慧慧《那么爱你也没用》好听好看好学64步,https://185211.xyz/T4/糖豆.php?id=20000011521792
方炀老师《故乡情》古典气质形体舞 全网爆火,https://185211.xyz/T4/糖豆.php?id=20000011412229
金子《孤独的浪客》最新爆火薇薇 小寒六六 舞清秋版,https://185211.xyz/T4/糖豆.php?id=20000012247991
金华跳舞《蹦沙卡拉卡》爆火全网 潮流时尚步子舞,https://185211.xyz/T4/糖豆.php?id=20000012256440
金华跳舞《苍穹唤》爆火🔥全网 时尚弹跳风 蜗牛版,https://185211.xyz/T4/糖豆.php?id=20000012234503
子青《童年老家》时尚大众步子舞、好看又好学,https://185211.xyz/T4/糖豆.php?id=20000011165718
舞之恒邹小帅《姑娘我爱上你》动感附教学,https://185211.xyz/T4/糖豆.php?id=20000012243641
